Date,Eruption,Seismicity,Acidity,Temperature (in Celsius),SO2,Plume (in meters),Ground Deformation
"June 9, 2022",,0,,66.5,862,900,Deflation of TVI and Taal Caldera (since October 2021)
"June 10, 2022",,0,,66.5,862,5,Deflation of TVI and Taal Caldera (since October 2021)
"June 11, 2022",,0,,66.5,1994,600,Deflation of TVI and Taal Caldera (since October 2021)
"June 12, 2022",,1,,66.5,1994,2400,Deflation of TVI and Taal Caldera (since October 2021)
"June 13, 2022",,0,,66.5,1994,2400,Deflation of TVI and Taal Caldera (since October 2021)
"June 14, 2022",,0,,66.5,2625,2000,Deflation of TVI and Taal Caldera (since October 2021)
"June 15, 2022",,0,,66.5,2625,900,Deflation of TVI and Taal Caldera (since October 2021)
"June 16, 2022",,0,,66.5,1584,900,Deflation of TVI and Taal Caldera (since October 2021)
"June 17, 2022",,0,,66.5,1584,1500,Deflation of TVI and Taal Caldera (since October 2021)
"June 18, 2022",,1,,66.5,1108,1500,Deflation of TVI and Taal Caldera (since October 2021)
"June 19, 2022",,0,,66.5,1108,1200,Deflation of TVI and Taal Caldera (since October 2021)
"June 20, 2022",,0,,66.5,1108,500,Deflation of TVI and Taal Caldera (since October 2021)
"June 21, 2022",,0,,66.5,1493,900,Deflation of TVI and Taal Caldera (since October 2021)
"June 22, 2022",,0,,66.5,1493,5,Deflation of TVI and Taal Caldera (since October 2021)
"June 23, 2022",,0,,66.5,1493,600,Deflation of TVI and Taal Caldera (since October 2021)
"June 24, 2022",,0,,66.5,2840,900,Deflation of TVI and Taal Caldera (since October 2021)
"June 25, 2022",,0,,66.5,2840,1200,Deflation of TVI and Taal Caldera (since October 2021)
"June 26, 2022",,0,,66.5,2840,600,Deflation of TVI and Taal Caldera (since October 2021)
"June 27, 2022",,0,,66.5,2840,600,Deflation of TVI and Taal Caldera (since October 2021)
"June 28, 2022",,0,,66.5,2840,1500,Deflation of TVI and Taal Caldera (since October 2021)
"June 29, 2022",,0,,66.5,2840,900,Deflation of TVI and Taal Caldera (since October 2021)
"June 30, 2022",,0,,66.5,1761,1500,Deflation of TVI and Taal Caldera (since October 2021)
"July 1, 2022",,0,,66.5,1761,900,Deflation of TVI and Taal Caldera (since October 2021)
"July 2, 2022",,0,,66.5,1333,900,Deflation of TVI and Taal Caldera (since October 2021)
"July 3, 2022",,0,,66.5,1333,1200,Deflation of TVI and Taal Caldera (since October 2021)
"July 4, 2022",,0,,66.5,1333,900,Deflation of TVI and Taal Caldera (since October 2021)
"July 5, 2022",,0,,66.5,1333,900,Deflation of TVI and Taal Caldera (since October 2021)
"July 6, 2022",,0,,66.5,237,1200,Deflation of TVI and Taal Caldera (since October 2021)
"July 7, 2022",,0,,66.5,237,50,Deflation of TVI and Taal Caldera (since October 2021)
"July 8, 2022",,0,,66.5,237,600,Deflation of TVI and Taal Caldera (since October 2021)
"July 9, 2022",,0,,66.5,237,900,Deflation of TVI and Taal Caldera (since October 2021)
"July 10, 2022",,0,,66.5,237,900,Deflation of TVI and Taal Caldera (since October 2021)
"July 11, 2022",,0,,66.5,237,900,Deflation of TVI and Taal Caldera (since October 2021)
"July 12, 2022",,0,,66.5,237,1500,Deflation of TVI and Taal Caldera (since October 2021)
"July 13, 2022",,0,,66.5,412,300,Deflation of TVI and Taal Caldera (since October 2021)
"July 14, 2022",,0,,66.5,412,900,Deflation of TVI and Taal Caldera (since October 2021)
"July 15, 2022",,0,,66.5,412,1200,Deflation of TVI and Taal Caldera (since October 2021)
"July 16, 2022",,2,,66.5,3645,2500,Deflation of TVI and Taal Caldera (since October 2021)
"July 17, 2022",,0,,66.5,3645,1500,Deflation of TVI and Taal Caldera (since October 2021)
"July 18, 2022",,4,,66.5,3645,1200,Deflation of TVI and Taal Caldera (since October 2021)
"July 19, 2022",,0,,66.5,2342,1500,Deflation of TVI and Taal Caldera (since October 2021)
"July 20, 2022",,1,,66.5,2342,600,Deflation of TVI and Taal Caldera (since October 2021)
"July 21, 2022",,0,,66.5,6237,600,Deflation of TVI and Taal Caldera (since October 2021)
"July 22, 2022",,6,,66.5,6237,900,Deflation of TVI and Taal Caldera (since October 2021)
"July 23, 2022",,2,,66.5,5905,1800,Deflation of TVI and Taal Caldera (since October 2021)
"July 24, 2022",,0,,66.5,5905,900,Deflation of TVI and Taal Caldera (since October 2021)
"July 25, 2022",,0,,66.5,5905,1200,Deflation of TVI and Taal Caldera (since October 2021)
"July 26, 2022",,1,,66.5,3272,900,Deflation of TVI and Taal Caldera (since October 2021)
"July 27, 2022",,2,,66.5,3272,900,Deflation of TVI and Taal Caldera (since October 2021)
"July 28, 2022",,0,,66.5,3695,1500,Deflation of TVI and Taal Caldera (since October 2021)
"July 29, 2022",,0,,66.5,3695,900,Deflation of TVI and Taal Caldera (since October 2021)
"July 30, 2022",,0,,66.5,3695,900,Deflation of TVI and Taal Caldera (since October 2021)
"July 31, 2022",,7,,66.5,3695,1500,Deflation of TVI and Taal Caldera (since October 2021)
"August 1, 2022",,1,,66.5,3695,1500,Deflation of TVI and Taal Caldera (since October 2021)
"August 2, 2022",,4,,66.5,2306,1200,Deflation of TVI and Taal Caldera (since October 2021)
"August 3, 2022",,9,,66.5,2306,2400,Deflation of TVI and Taal Caldera (since October 2021)
"August 4, 2022",,1,,66.5,12125,2800,Deflation of TVI and Taal Caldera (since October 2021)
"August 5, 2022",,10,,66.5,6239,2500,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"August 6, 2022",,10,,66.5,4070,2000,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"August 7, 2022",,13,,66.5,5419,1200,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"August 8, 2022",,3,,66.5,17141,1500,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"August 9, 2022",,0,,66.5,13098,1800,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"August 10, 2022",,0,,66.5,6844,1800,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"August 11, 2022",,1,,66.5,6099,2500,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"August 12, 2022",,5,,66.5,13572,2800,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"August 13, 2022",,6,,66.5,13572,3000,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"August 14, 2022",,0,,66.5,3945,2100,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"August 15, 2022",,1,,66.5,4827,2000,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"August 16, 2022",,17,,66.5,3802,1500,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"August 17, 2022",,28,,66.5,4312,2800,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"August 18, 2022",,19,,66.5,5119,1500,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"August 19, 2022",,13,,66.5,3818,2500,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"August 20, 2022",,6,,66.5,7205,1800,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"August 21, 2022",,11,,66.5,8097,2400,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"August 22, 2022",,0,,66.5,5531,1800,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"August 23, 2022",,16,,66.5,1806,900,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"August 24, 2022",,4,,66.5,1511,600,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
